Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2016-05-23,40,14290,9764487,690,677,685
2016-05-24,49,7665,5286530,695,685,690
2016-05-25,43,13438,9073302,692,671,682
2016-05-26,25,5751,3902538,689,657,679
2016-05-29,42,10097,6749106,679,660,679
2016-05-30,31,6432,4287041,679,665,666
2016-05-31,33,7732,5098912,667,653,659
2016-06-01,51,10461,6845190,665,648,656
2016-06-02,60,14888,9934706,682,656,668
2016-06-05,63,8658,5735256,674,650,668
2016-06-06,25,4113,2726752,670,647,670
2016-06-07,31,9201,6186237,680,661,677
2016-06-08,59,11892,8086110,689,676,677
2016-06-09,45,7948,5422602,694,677,677
2016-06-12,19,4476,3027832,689,668,675
2016-06-13,151,40671,28383419,710,680,700
2016-06-14,106,35182,25298420,725,710,721
2016-06-15,42,11057,7937373,723,712,720
2016-06-16,49,14568,10267030,722,697,713
2016-06-19,36,18341,12933260,714,693,705
2016-06-20,50,10740,7545962,710,697,700
2016-06-21,40,9949,7022531,720,700,703
2016-06-22,37,11454,8181899,728,706,720
2016-06-23,33,6052,4275171,720,696,702
2016-06-26,36,7223,5121182,712,703,710
2016-06-27,77,22093,15966204,739,713,739
2016-06-28,49,12542,9154895,735,721,735
2016-06-29,32,10899,7932804,732,724,727
2016-06-30,62,19936,14451845,729,716,722
2016-07-03,47,11526,8282487,720,713,719
2016-07-04,50,5677,4087850,730,710,730
2016-07-05,68,20430,14750377,750,713,745
2016-07-06,91,24816,18965190,775,743,761
2016-07-10,36,4691,3548440,765,740,761
2016-07-11,114,27375,21279724,789,761,777
2016-07-12,58,8705,6641752,784,720,766
2016-07-13,46,10620,8007271,768,740,760
2016-07-14,48,11763,8998421,775,755,768
2016-07-17,184,46553,38156850,844,765,844
2016-07-18,104,28713,24282672,865,814,833
2016-07-19,203,53355,46055239,899,830,888
2016-07-20,272,73449,70610321,976,900,976
2016-07-21,200,43680,42840235,1010,954,984
2016-07-25,252,63729,64132381,1065,985,1065
2016-07-26,200,37909,40983128,1113,1045,1082
2016-07-27,169,40667,43100183,1099,1035,1081
2016-07-28,143,33191,34914371,1069,1029,1060
2016-07-31,128,28865,29774506,1068,1020,1038
2016-08-01,154,33867,34223095,1050,995,1030
2016-08-02,141,58079,58488030,1015,1000,1000
2016-08-03,100,23444,23497177,1019,982,1002
2016-08-04,143,30904,30373426,995,955,970
